Camera,X,Y,Goats,Kernel_cam,Kernel_gps,Kernel_todos
C1T2P1,693084,2009327,0,0.2,0,0
C1T2P21,693961,2009940,0,0,0,0
C1T6P1,692479,2010184,0,0,0,0
C3T3P21,692934,2007423,0,0.14,0,0
C4T2P1,695419,2009578,0,0.3,0.14,0.1
C4T2P21,694603,2008988,0,0.31,0,0
CB07,695110,2007581,1,0.68,0.19,0.19
CB14,691806,2008761,0,0.07,0,0
CB17,690914,2008926,1,0.09,0,0.02
CB18,691396,2007831,1,0.11,0,0.02
CB18P14,694112,2007652,1,1.03,0.39,0.46
CB18P15,693883,2006474,0,0.1,0.3,0.08
CB18P28,692534,2006654,0,0.03,0,0
CB18P30,695790,2008315,1,1.12,0.48,0.44
CB18P32,696367,2007499,1,2.2,2.84,2.62
CB19,691546,2006699,0,0.02,0,0
CB19CH1,696733,2007503,1,1.22,3.78,2.86
CB19CH3,696089,2006806,0,1.02,0.61,0.45
CB19CH4,695656,2009170,1,0.42,0.2,0.31
CB19CH5,695632,2006975,1,1.61,0.29,0.28
CB19CH6,697131,2007045,1,0.54,1.46,1.46
CB19CH7,693820,2008063,1,1.32,0.05,0.27
CB19P2,693424,2008439,1,0.77,0,0.09
CB21,695027,2010516,0,0.01,0,0
