Camera,Species,Events,Effort
C1T2P1,Bas_ast,0,89
C1T2P1,Can_lat,0,89
C1T2P1,Nas_nar,0,89
C1T2P1,Syl_flo,6,89
C1T2P1,Con_leu,0,89
C1T2P1,Lin_ruf,0,89
C1T2P1,Pro_lot,0,89
C1T2P1,Odo_vir,7,89
C1T2P1,Pec_taj,0,89
C1T2P1,Spi_put,0,89
C1T2P1,Mep_mac,0,89
C1T2P1,Uro_cin,10,89
C1T2P1,Can_fam,0,89
C1T2P1,Cap_aeg,0,89
C1T2P1,Fel_cat,0,89
C1T2P21,Bas_ast,0,89
C1T2P21,Can_lat,1,89
C1T2P21,Nas_nar,0,89
C1T2P21,Syl_flo,20,89
C1T2P21,Con_leu,1,89
C1T2P21,Lin_ruf,1,89
C1T2P21,Pro_lot,0,89
C1T2P21,Odo_vir,10,89
C1T2P21,Pec_taj,5,89
C1T2P21,Spi_put,0,89
C1T2P21,Mep_mac,0,89
C1T2P21,Uro_cin,2,89
C1T2P21,Can_fam,0,89
C1T2P21,Cap_aeg,0,89
C1T2P21,Fel_cat,0,89
C1T6P1,Bas_ast,0,88
C1T6P1,Can_lat,0,88
C1T6P1,Nas_nar,0,88
C1T6P1,Syl_flo,12,88
C1T6P1,Con_leu,2,88
C1T6P1,Lin_ruf,0,88
C1T6P1,Pro_lot,0,88
C1T6P1,Odo_vir,7,88
C1T6P1,Pec_taj,1,88
C1T6P1,Spi_put,0,88
C1T6P1,Mep_mac,2,88
C1T6P1,Uro_cin,8,88
C1T6P1,Can_fam,0,88
C1T6P1,Cap_aeg,0,88
C1T6P1,Fel_cat,0,88
C3T3P21,Bas_ast,0,90
C3T3P21,Can_lat,1,90
C3T3P21,Nas_nar,0,90
C3T3P21,Syl_flo,12,90
C3T3P21,Con_leu,3,90
C3T3P21,Lin_ruf,4,90
C3T3P21,Pro_lot,0,90
C3T3P21,Odo_vir,8,90
C3T3P21,Pec_taj,3,90
C3T3P21,Spi_put,1,90
C3T3P21,Mep_mac,0,90
C3T3P21,Uro_cin,1,90
C3T3P21,Can_fam,0,90
C3T3P21,Cap_aeg,0,90
C3T3P21,Fel_cat,0,90
C4T2P1,Bas_ast,0,89
C4T2P1,Can_lat,0,89
C4T2P1,Nas_nar,0,89
C4T2P1,Syl_flo,3,89
C4T2P1,Con_leu,1,89
C4T2P1,Lin_ruf,0,89
C4T2P1,Pro_lot,0,89
C4T2P1,Odo_vir,0,89
C4T2P1,Pec_taj,0,89
C4T2P1,Spi_put,1,89
C4T2P1,Mep_mac,1,89
C4T2P1,Uro_cin,0,89
C4T2P1,Can_fam,0,89
C4T2P1,Cap_aeg,0,89
C4T2P1,Fel_cat,0,89
C4T2P21,Bas_ast,0,93
C4T2P21,Can_lat,0,93
C4T2P21,Nas_nar,0,93
C4T2P21,Syl_flo,0,93
C4T2P21,Con_leu,0,93
C4T2P21,Lin_ruf,0,93
C4T2P21,Pro_lot,0,93
C4T2P21,Odo_vir,0,93
C4T2P21,Pec_taj,0,93
C4T2P21,Spi_put,0,93
C4T2P21,Mep_mac,0,93
C4T2P21,Uro_cin,1,93
C4T2P21,Can_fam,0,93
C4T2P21,Cap_aeg,0,93
C4T2P21,Fel_cat,0,93
CB07,Bas_ast,0,35
CB07,Can_lat,0,35
CB07,Nas_nar,0,35
CB07,Syl_flo,0,35
CB07,Con_leu,4,35
CB07,Lin_ruf,1,35
CB07,Pro_lot,0,35
CB07,Odo_vir,17,35
CB07,Pec_taj,1,35
CB07,Spi_put,1,35
CB07,Mep_mac,0,35
CB07,Uro_cin,1,35
CB07,Can_fam,0,35
CB07,Cap_aeg,1,35
CB07,Fel_cat,0,35
CB14,Bas_ast,0,62
CB14,Can_lat,1,62
CB14,Nas_nar,0,62
CB14,Syl_flo,23,62
CB14,Con_leu,5,62
CB14,Lin_ruf,2,62
CB14,Pro_lot,0,62
