Camera,Species,Events,Effort
PECT1_MF8,Eira_bar,1,19
PECT1_MF8,Dasy_punc,0,19
PECT1_MF9,Eira_bar,1,19
PECT1_MF9,Dasy_punc,0,19
PECT1_MF10,Eira_bar,0,19
PECT1_MF10,Dasy_punc,0,19
PECT1_MF11,Eira_bar,0,19
PECT1_MF11,Dasy_punc,0,19
PECT10_MF8,Eira_bar,0,19
PECT10_MF8,Dasy_punc,1,19
PECT10_MF9,Eira_bar,0,19
PECT10_MF9,Dasy_punc,0,19
PECT10_MF10,Eira_bar,1,19
PECT10_MF10,Dasy_punc,0,19
PECT10_MF11,Eira_bar,0,19
PECT10_MF11,Dasy_punc,0,19
PECT2_MF8,Eira_bar,0,19
PECT2_MF8,Dasy_punc,2,19
PECT2_MF9,Eira_bar,0,19
PECT2_MF9,Dasy_punc,0,19
PECT2_MF10,Eira_bar,1,19
PECT2_MF10,Dasy_punc,1,19
PECT2_MF11,Eira_bar,0,19
PECT2_MF11,Dasy_punc,2,19
PECT3_MF8,Eira_bar,1,19
PECT3_MF8,Dasy_punc,8,19
PECT3_MF9,Eira_bar,2,19
PECT3_MF9,Dasy_punc,0,19
PECT3_MF10,Eira_bar,0,19
PECT3_MF10,Dasy_punc,1,19
PECT3_MF11,Eira_bar,0,19
PECT3_MF11,Dasy_punc,1,19
PECT4_MF8,Eira_bar,1,19
PECT4_MF8,Dasy_punc,0,19
PECT4_MF9,Eira_bar,1,19
PECT4_MF9,Dasy_punc,3,19
PECT4_MF10,Eira_bar,0,19
PECT4_MF10,Dasy_punc,0,19
PECT4_MF11,Eira_bar,1,19
PECT4_MF11,Dasy_punc,0,19
PECT5_MF8,Eira_bar,1,19
PECT5_MF8,Dasy_punc,1,19
PECT5_MF9,Eira_bar,1,19
PECT5_MF9,Dasy_punc,0,19
PECT5_MF10,Eira_bar,0,19
PECT5_MF11,Dasy_punc,0,19
PECT5_MF11,Eira_bar,0,19
PECT5_MF11,Dasy_punc,1,19
PECT6_MF8,Eira_bar,0,19
PECT6_MF8,Dasy_punc,0,19
PECT6_MF9,Eira_bar,0,19
PECT6_MF9,Dasy_punc,0,19
PECT6_MF10,Eira_bar,0,19
PECT6_MF10,Dasy_punc,0,19
PECT6_MF11,Eira_bar,0,19
